t,explicit_test,exact_test,explicit_stiff,implicit_stiff
0,1,1,0,0
0.01,1,1.0001,0,0
0.02,1.0002,1.0004,0,0
0.03,1.0006,1.0009,2.5,0.713393
0.04,1.0012,1.0016,2.5,0.713393
0.05,1.002,1.0025,-1.25312,0.914544
0.06,1.003,1.00361,-1.25312,0.914544
0.07,1.00421,1.00491,-1.25312,0.914544
0.08,1.00561,1.00642,4.3672,0.967563
0.09,1.00722,1.00813,4.3672,0.967563
0.1,1.00903,1.01005,-4.07887,0.976494
0.11,1.01105,1.01217,-4.07887,0.976494
0.12,1.01328,1.0145,-4.07887,0.976494
0.13,1.01571,1.01704,8.56847,0.971079
0.14,1.01835,1.01979,8.56847,0.971079
0.15,1.0212,1.02276,-10.4304,0.959834
0.16,1.02426,1.02593,-10.4304,0.959834
0.17,1.02754,1.02932,-10.4304,0.959834
0.18,1.03104,1.03293,18.034,0.945219
0.19,1.03475,1.03676,18.034,0.945219
0.2,1.03868,1.04081,-24.7025,0.927963
0.21,1.04283,1.04509,-24.7025,0.927963
0.22,1.04721,1.04959,-24.7025,0.927963
0.23,1.05182,1.05432,39.3564,0.908309
0.24,1.05666,1.05929,39.3564,0.908309
0.25,1.06173,1.06449,-56.7835,0.886362
0.26,1.06704,1.06994,-56.7835,0.886362
0.27,1.07259,1.07562,-56.7835,0.886362
0.28,1.07838,1.08156,87.3693,0.862192
0.29,1.08442,1.08774,87.3693,0.862192
0.3,1.09071,1.09417,-128.923,0.835866
0.31,1.09725,1.10087,-128.923,0.835866
0.32,1.10406,1.10783,-128.923,0.835866
0.33,1.11112,1.11505,195.447,0.80745
0.34,1.11846,1.12255,195.447,0.80745
0.35,1.12606,1.13032,-291.181,0.777016
0.36,1.13395,1.13837,-291.181,0.777016
0.37,1.14211,1.14671,-291.181,0.777016
0.38,1.15056,1.15535,438.683,0.744639
0.39,1.15931,1.16428,438.683,0.744639
0.4,1.16835,1.17351,-656.195,0.710402
0.41,1.17769,1.18305,-656.195,0.710402
0.42,1.18735,1.19292,-656.195,0.710402
0.43,1.19733,1.2031,986.035,0.674388
0.44,1.20762,1.21361,986.035,0.674388
0.45,1.21825,1.22446,-1477.4,0.63669
0.46,1.22921,1.23565,-1477.4,0.63669
0.47,1.24052,1.2472,-1477.4,0.63669
0.48,1.25218,1.2591,2217.66,0.597399
0.49,1.2642,1.27138,2217.66,0.597399
0.5,1.27659,1.28403,-3325.03,0.556616
0.51,1.28936,1.29706,-3325.03,0.556616
0.52,1.30251,1.31049,-3325.03,0.556616
0.53,1.31606,1.32432,4988.9,0.514441
0.54,1.33001,1.33857,4988.9,0.514441
0.55,1.34437,1.35324,-7482.1,0.47098
0.56,1.35916,1.36834,-7482.1,0.47098
0.57,1.37438,1.38389,-7482.1,0.47098
0.58,1.39005,1.3999,11224.3,0.426343
0.59,1.40617,1.41637,11224.3,0.426343
0.6,1.42277,1.43333,-16835.4,0.380639
0.61,1.43984,1.45078,-16835.4,0.380639
0.62,1.45741,1.46873,-16835.4,0.380639
0.63,1.47548,1.48721,25254,0.333984
0.64,1.49407,1.50622,25254,0.333984
0.65,1.51319,1.52577,-37880.3,0.286495
0.66,1.53287,1.54589,-37880.3,0.286495
0.67,1.5531,1.56659,-37880.3,0.286495
0.68,1.57391,1.58788,56821.1,0.238289
0.69,1.59532,1.60978,56821.1,0.238289
0.7,1.61733,1.63232,-85231,0.189488
0.71,1.63997,1.65549,-85231,0.189488
0.72,1.66326,1.67934,-85231,0.189488
0.73,1.68721,1.70387,127847,0.140213
0.74,1.71185,1.7291,127847,0.140213
0.75,1.73718,1.75505,-191770,0.0905874
0.76,1.76324,1.78176,-191770,0.0905874
0.77,1.79004,1.80923,-191770,0.0905874
0.78,1.81761,1.83749,287655,0.0407355
0.79,1.84596,1.86657,287655,0.0407355
0.8,1.87513,1.89648,-431483,-0.00921807
0.81,1.90513,1.92726,-431483,-0.00921807
0.82,1.93599,1.95893,-431483,-0.00921807
0.83,1.96774,1.99152,647225,-0.0591487
0.84,2.00041,2.02506,647225,-0.0591487
0.85,2.03401,2.05958,-970837,-0.108931
0.86,2.06859,2.0951,-970837,-0.108931
0.87,2.10417,2.13166,-970837,-0.108931
0.88,2.14079,2.16929,1.45626e+06,-0.158442
0.89,2.17846,2.20803,1.45626e+06,-0.158442
0.9,2.21724,2.24791,-2.18438e+06,-0.207556
0.91,2.25715,2.28897,-2.18438e+06,-0.207556
0.92,2.29823,2.33124,-2.18438e+06,-0.207556
0.93,2.34052,2.37477,3.27657e+06,-0.256152
0.94,2.38405,2.41959,3.27657e+06,-0.256152
0.95,2.42887,2.46576,-4.91486e+06,-0.304107
0.96,2.47502,2.51331,-4.91486e+06,-0.304107
0.97,2.52254,2.56229,-4.91486e+06,-0.304107
0.98,2.57148,2.61274,7.37229e+06,-0.351303
0.99,2.62188,2.66472,7.37229e+06,-0.351303
1,2.67379,2.71828,-1.10584e+07,-0.39762
