r,potential
0.85,17.5153
0.86,14.5516
0.87,12.0485
0.88,9.93357
0.89,8.14637
0.9,6.63612
0.91,5.36017
0.92,4.28263
0.93,3.37327
0.94,2.60657
0.95,1.96097
0.96,1.41824
0.97,0.962916
0.98,0.581905
0.99,0.264083
1,0
1.01,-0.218384
1.02,-0.397913
1.03,-0.544418
1.04,-0.66287
1.05,-0.757512
1.06,-0.831965
1.07,-0.889321
1.08,-0.932223
1.09,-0.96293
1.1,-0.983372
1.11,-0.9952
1.12,-0.999824
1.13,-0.998451
1.14,-0.99211
1.15,-0.981682
1.16,-0.967918
1.17,-0.951458
1.18,-0.932848
1.19,-0.912552
1.2,-0.890965
1.21,-0.868421
1.22,-0.845202
1.23,-0.821547
1.24,-0.797656
1.25,-0.773698
1.26,-0.749812
1.27,-0.726114
1.28,-0.7027
1.29,-0.679646
1.3,-0.657017
1.31,-0.634861
1.32,-0.613218
1.33,-0.592118
1.34,-0.571581
1.35,-0.551623
1.36,-0.532253
1.37,-0.513475
1.38,-0.495291
1.39,-0.477697
1.4,-0.460687
1.41,-0.444254
1.42,-0.428388
1.43,-0.413077
1.44,-0.39831
1.45,-0.384073
1.46,-0.370352
1.47,-0.357133
1.48,-0.344401
1.49,-0.33214
1.5,-0.320337
1.51,-0.308975
1.52,-0.29804
1.53,-0.287517
1.54,-0.277391
1.55,-0.267649
1.56,-0.258276
1.57,-0.249258
1.58,-0.240583
1.59,-0.232237
1.6,-0.224208
1.61,-0.216483
1.62,-0.209051
1.63,-0.201901
1.64,-0.195021
1.65,-0.188401
1.66,-0.18203
1.67,-0.175899
1.68,-0.169998
1.69,-0.164319
1.7,-0.158851
1.71,-0.153588
1.72,-0.14852
1.73,-0.143639
1.74,-0.13894
1.75,-0.134413
1.76,-0.130053
1.77,-0.125853
1.78,-0.121805
1.79,-0.117906
1.8,-0.114147
1.81,-0.110524
1.82,-0.107032
1.83,-0.103665
1.84,-0.100419
1.85,-0.097288
1.86,-0.0942682
1.87,-0.0913552
1.88,-0.0885449
1.89,-0.0858331
1.9,-0.0832161
1.91,-0.0806903
1.92,-0.0782521
1.93,-0.0758981
1.94,-0.0736251
1.95,-0.07143
1.96,-0.0693098
1.97,-0.0672618
1.98,-0.0652831
1.99,-0.0633711
2,-0.0615234
2.01,-0.0597376
2.02,-0.0580112
2.03,-0.0563421
2.04,-0.0547282
2.05,-0.0531674
2.06,-0.0516578
2.07,-0.0501975
2.08,-0.0487847
2.09,-0.0474176
2.1,-0.0460947
2.11,-0.0448142
2.12,-0.0435747
2.13,-0.0423747
2.14,-0.0412128
2.15,-0.0400876
2.16,-0.0389978
2.17,-0.0379422
2.18,-0.0369195
2.19,-0.0359286
2.2,-0.0349685
2.21,-0.0340379
2.22,-0.0331359
2.23,-0.0322615
2.24,-0.0314138
2.25,-0.0305918
2.26,-0.0297946
2.27,-0.0290214
2.28,-0.0282715
2.29,-0.0275439
2.3,-0.0268379
2.31,-0.0261529
2.32,-0.0254881
2.33,-0.0248429
2.34,-0.0242165
2.35,-0.0236084
2.36,-0.023018
2.37,-0.0224446
2.38,-0.0218878
2.39,-0.021347
2.4,-0.0208216
2.41,-0.0203112
2.42,-0.0198153
2.43,-0.0193334
2.44,-0.0188651
2.45,-0.0184099
2.46,-0.0179674
2.47,-0.0175373
2.48,-0.017119
2.49,-0.0167124
2.5,-0.0163169
2.51,-0.0159323
2.52,-0.0155581
2.53,-0.0151942
2.54,-0.0148401
2.55,-0.0144956
2.56,-0.0141604
2.57,-0.0138341
2.58,-0.0135166
2.59,-0.0132075
2.6,-0.0129066
2.61,-0.0126137
2.62,-0.0123284
2.63,-0.0120507
2.64,-0.0117802
2.65,-0.0115167
2.66,-0.0112601
2.67,-0.0110101
2.68,-0.0107666
2.69,-0.0105293
2.7,-0.010298
2.71,-0.0100727
2.72,-0.0098531
2.73,-0.00963904
2.74,-0.00943038
2.75,-0.00922696
2.76,-0.00902863
2.77,-0.00883525
2.78,-0.00864668
2.79,-0.00846278
2.8,-0.00828342
2.81,-0.00810847
2.82,-0.00793781
2.83,-0.00777133
2.84,-0.00760889
2.85,-0.0074504
2.86,-0.00729574
2.87,-0.00714481
2.88,-0.00699751
2.89,-0.00685373
2.9,-0.00671338
2.91,-0.00657637
2.92,-0.00644261
2.93,-0.006312
2.94,-0.00618448
2.95,-0.00605994
2.96,-0.00593832
2.97,-0.00581953
2.98,-0.00570351
2.99,-0.00559017
3,-0.00547944
3.01,-0.00537127
3.02,-0.00526557
3.03,-0.00516229
3.04,-0.00506137
3.05,-0.00496274
3.06,-0.00486634
3.07,-0.00477211
3.08,-0.00468001
3.09,-0.00458997
3.1,-0.00450195
3.11,-0.00441588
3.12,-0.00433173
3.13,-0.00424944
3.14,-0.00416897
3.15,-0.00409027
3.16,-0.0040133
3.17,-0.003938
3.18,-0.00386436
3.19,-0.00379231
3.2,-0.00372182
3.21,-0.00365286
3.22,-0.00358538
3.23,-0.00351935
3.24,-0.00345473
3.25,-0.00339149
3.26,-0.0033296
3.27,-0.00326902
3.28,-0.00320973
3.29,-0.00315168
3.3,-0.00309485
3.31,-0.00303922
3.32,-0.00298474
3.33,-0.00293141
3.34,-0.00287918
3.35,-0.00282803
3.36,-0.00277794
3.37,-0.00272888
3.38,-0.00268082
3.39,-0.00263376
3.4,-0.00258765
3.41,-0.00254248
3.42,-0.00249823
3.43,-0.00245487
3.44,-0.00241239
3.45,-0.00237076
3.46,-0.00232997
3.47,-0.00228999
3.48,-0.00225082
3.49,-0.00221242
3.5,-0.00217478
3.51,-0.00213789
3.52,-0.00210172
3.53,-0.00206627
3.54,-0.00203151
3.55,-0.00199744
3.56,-0.00196402
3.57,-0.00193126
3.58,-0.00189913
3.59,-0.00186763
3.6,-0.00183673
3.61,-0.00180643
3.62,-0.00177671
3.63,-0.00174755
3.64,-0.00171896
3.65,-0.0016909
3.66,-0.00166338
3.67,-0.00163639
3.68,-0.0016099
3.69,-0.00158391
3.7,-0.00155841
3.71,-0.00153338
3.72,-0.00150882
3.73,-0.00148472
3.74,-0.00146107
3.75,-0.00143786
3.76,-0.00141507
3.77,-0.00139271
3.78,-0.00137076
3.79,-0.00134921
3.8,-0.00132805
3.81,-0.00130728
3.82,-0.00128689
3.83,-0.00126686
3.84,-0.0012472
3.85,-0.0012279
3.86,-0.00120894
3.87,-0.00119032
3.88,-0.00117204
3.89,-0.00115408
3.9,-0.00113645
3.91,-0.00111912
3.92,-0.00110211
3.93,-0.00108539
3.94,-0.00106897
3.95,-0.00105284
3.96,-0.00103699
3.97,-0.00102142
3.98,-0.00100613
3.99,-0.000991094
4,-0.000976324
